"DateTime","2023","2024","2025"
"1970-08-15 23:00:00",49.64,,781.1
"1970-08-16 23:00:00",19.9,,600.24
"1970-08-17 23:00:00",32.83,,842.11
"1970-08-18 23:00:00",22.44,,939.68
"1970-08-19 23:00:00",12.16,,844
"1970-08-20 23:00:00",9.39,,1008.5
"1970-08-21 23:00:00",16.91,,850.12
"1970-08-22 23:00:00",20.56,,
"1970-08-23 23:00:00",51.51,,106.2
"1970-08-24 23:00:00",31.74,,645.69
"1970-08-25 23:00:00",8.4,,
"1970-08-26 23:00:00",9.39,,920.18
"1970-08-27 23:00:00",35.82,,933.34
"1970-08-28 23:00:00",23.43,,659.59
"1970-08-29 23:00:00",39.24,,
"1970-08-30 23:00:00",20.56,,571.51
"1970-08-31 23:00:00",27.08,,582.11
"1970-09-01 23:00:00",6.52,,901.55
"1970-09-02 23:00:00",13.15,,832.04
"1970-09-03 23:00:00",12.16,,826.51
"1970-09-04 23:00:00",28.96,,781.85
"1970-09-05 23:00:00",22.66,670.3,633.44
"1970-09-06 23:00:00",14.04,1079.26,508.61
"1970-09-07 23:00:00",19.56,931.93,797.38
"1970-09-08 23:00:00",21.55,886.35,821.18
"1970-09-09 23:00:00",11.27,910.78,846.45
"1970-09-10 23:00:00",22.45,1233.12,850.2
"1970-09-11 23:00:00",43.88,1026.16,749.74
"1970-09-12 23:00:00",15.92,,755.73
"1970-09-13 23:00:00",30.84,,528.05
"1970-09-14 23:00:00",37.47,,910.72
"1970-09-15 23:00:00",17.79,,320.86
"1970-09-16 23:00:00",7.52,,
"1970-09-17 23:00:00",34.6,,969.43
"1970-09-18 23:00:00",21.55,,796.35
"1970-09-19 23:00:00",18.9,,619.97
"1970-09-20 23:00:00",33.83,,491.85
"1970-09-21 23:00:00",18.68,,778.92
"1970-09-22 23:00:00",28.96,,637.47
"1970-09-23 23:00:00",5.64,,760.17
"1970-09-24 23:00:00",33.71,,894.47
"1970-09-25 23:00:00",17.79,,837.1
"1970-09-26 23:00:00",23.32,,780.76
"1970-09-27 23:00:00",20.45,,654.23
"1970-09-28 23:00:00",14.92,,840.25
"1970-09-29 23:00:00",14.04,,915.97
"1970-09-30 23:00:00",,,868.96
"1970-10-01 23:00:00",33.83,,1085.87
"1970-10-02 23:00:00",29.07,,861.58
"1970-10-03 23:00:00",36.47,,745.44
"1970-10-04 23:00:00",35.59,,757.22
"1970-10-05 23:00:00",21.44,,1068.53
"1970-10-06 23:00:00",19.68,,904.46
"1970-10-07 23:00:00",9.39,,947.16
"1970-10-08 23:00:00",12.93,,905.36
"1970-10-09 23:00:00",25.2,,886.42
"1970-10-10 23:00:00",10.28,,685.51
